RMSE,MAPE
0.28134,3.9122
0.28174,3.9077
0.28258,3.8109
0.2831,3.9184
0.28392,4.0035
0.28172,3.9651
0.2831,3.9047
0.28367,3.9752
0.28362,3.9449
0.28284,3.8129
0.28186,3.8966
0.28081,3.7288
0.28318,3.9089
0.28274,3.9977
0.28235,3.982
0.28087,3.8494
0.2827,3.9887
